"ID","Protein.Group","Genes","First.Protein.Description","mean_pI","mean_mw","mean_gravy"
445,"A0A0G2KA49;A0A8I6AMD5","Slit2","Slit homolog 2 protein",6.51150949591703,170541.33989,-0.330305776166871
446,"A0A0G2KA50;A0A8I5ZMY7;A0A8I6A3C4;E9PT04","Vps39","VPS39 subunit of HOPS complex",7.152047176707,99331.926565,-0.245724395897426
447,"A0A0G2KA82;A0A8I6A9E4;A0A8I6A9F2;Q66H18","Sypl1","Synaptophysin-like 1",8.45836629320786,29515.758265,0.16781942931075
448,"A0A0G2KA90;A0A8I6GE75","Dsc1","Desmocollin 1",5.40014068578606,97027.96414,-0.405405656175772
449,"A0A0G2KAA3;A0A8I6AGS3","Ndufa3","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3",8.4187675695162,11768.78554,-0.0318950017979144
450,"A0A0G2KAD4;F1M635","Lbh","Protein LBH",4.32836401452912,12265.17249,-0.868251001335113
451,"A0A0G2KAI2;A0A8I5ZVJ1;A0A8I6ATG4","Phf2","PHD finger protein 2",9.4391916611991,126978.847273333,-0.776422394475347
452,"A0A0G2KAJ7;A0A8I5ZRE6","Col12a1","Collagen alpha-1(XII) chain",5.50572589421175,338662.45634,-0.448704421580343
453,"A0A0G2KAM4;A0A8I6AK10","Fscn1","Fascin",6.2699768058094,51814.89309,-0.444236083695223
454,"A0A0G2KAP1;A0A8I5YBH6;A0A8I6A3H1;A0A8I6A593;A0A8I6GLG0;D3ZNZ5","Ero1b","Endoplasmic reticulum oxidoreductase 1 beta",8.29575003030809,52993.9447066667,-0.489784777969352
455,"A0A0G2KAQ5","Myoz2","Myozenin 2",7.15744168780166,29789.69144,-0.758333333333333
456,"A0A0G2KAT3","Rpa1","Replication protein A subunit",8.53931086018695,66549.39514,-0.366832504145937
457,"A0A0G2KAU9;D3ZZ51","Prrc2b","Proline-rich coiled-coil 2B",8.70602840308821,205797.98214,-0.894557298862485
458,"A0A0G2KAW5;D3Z8C7","Wdr48","WD repeat-containing protein 48",6.5833265703024,76201.13184,-0.407444044264061
459,"A0A0G2KAZ7;A0A8I6G5P1","Hnrnpdl","Heterogeneous nuclear ribonucleoprotein D-like",9.46511233946262,46203.21564,-0.942091768112956
460,"A0A0G2KB09;A0A8I5Y6N4;A0A8I5ZR23;A0A8I6AS53;D3ZKG5","Parvb","Parvin, beta",5.7308539830601,41335.9619,-0.208397280840638
461,"A0A0G2KB10;A0A8I6A5I9;A0A8I6A709;A0A8I6AUV5","Setd2","[histone H3]-lysine(36) N-trimethyltransferase",5.98936204315801,281017.895365,-0.995914324851683
462,"A0A0G2KB73;A0A8I6AHX2;A0A8I6AQP3","Rif1","Replication timing regulatory factor 1",5.38850539741021,259859.664573333,-0.445132936820364
463,"A0A0G2KB92;A0A1W2Q6Q2;A0A8I5ZWQ8;A0A8I6AMY9;M0RDS3","Dclk1","Serine/threonine-protein kinase DCLK1",9.28076459667206,65863.85482,-0.537518663300207
464,"A0A0G2KBC4;A0A8I5ZP95;A0A8I5ZZ98;A0A8I6AEN2;D4ACA7","Csf1r","receptor protein-tyrosine kinase",5.80681520565579,111119.21818,-0.25801560592496
465,"A0A0G2KBC7;A0A8I6ADR0;Q52KS1","Pfkm","ATP-dependent 6-phosphofructokinase",7.53990027965134,90619.0122066667,-0.190900714556841
466,"A0A0G2QC04","Pls1","Plastin 1",5.33066584600593,70389.58654,-0.252857142857143
467,"A0A0G2QC15;B0BNF8","Htatip2","HIV-1 Tat interactive protein 2",8.04229469274113,28433.17879,-0.181586776859504
468,"A0A0G2QC19;A0A8I6GBG8","Dnajc21","DnaJ heat shock protein family (Hsp40) member C21",5.5010678641362,60188.27104,-1.21525012538777
469,"A0A0G2QC22","Paxx","PAXX, non-homologous end joining factor",10.0446291023854,24238.75234,-0.272888888888889
470,"A0A0G2QC33","Atg4b","Cysteine protease ATG4B",4.93480297505512,44363.50994,-0.167175572519084
471,"A0A0G2QC38","Srsf11","Serine and arginine-rich-splicing factor 11",10.6120869968874,57416.77244,-1.14015444015444
472,"A0A0G2QC41;A0A8I6GM68;D3ZVD8","Hdac6","Histone deacetylase 6",5.60172779523148,128216.123273333,-0.22794518164428
473,"A0A0H2UHR2","Myoz3","Myozenin 3",9.18595305975393,27200.81124,-0.535483870967742
474,"A0A0H2UI39","Apoc3","Apolipoprotein C-III",4.80550601444918,14784.71534,-0.373333333333333
475,"A0A0U1RRN9;A0A0U1RRT8;A0A8I5ZSZ7;A0A8I6AA08;B5DFG5","Septin6","Septin",6.41904560480932,48970.68564,-0.629726978455896
476,"A0A0U1RRP3;D3ZBE8","Upf3b","UPF3 regulator of nonsense transcripts homolog B (Yeast) (Predicted)",9.47649885989411,57837.83959,-1.66146863533112
477,"A0A0U1RRS6;A0A0U1RRY8","Upf2","UPF2, regulator of nonsense mediated mRNA decay",5.4541509699794,147542.29889,-0.880160258019876
478,"A0A0U1RRU0;Q4KLN3","Srpk1","SRSF protein kinase 1",5.91995601511275,73624.27454,-0.717179682912507
479,"A0A0U1RRU5;D4A6C6","Tab1","TGF-beta-activated kinase 1/MAP3K7-binding protein 1",5.31151868709198,55414.99424,-0.365475858002855
480,"A0A0U1RRV5;A0A8I6ARR0;D3ZKG9","Cluh","Clustered mitochondria protein homolog",5.64992206450109,148707.53974,-0.378010882042991
481,"A0A0U1RRV7;A0A8I5ZSN8;A0A8I6A2L6;A0A8I6A2P1","AABR07026797.1;Srsf3","Serine and arginine-rich-splicing factor 3",9.8947758061262,18626.01849,-0.798160597342529
482,"A0A0U1RS22;D3ZEH8","Pmf1","Polyamine-modulated factor 1",5.34797631254608,22826.10859,-0.581378806729053
483,"A0A0U1RS25","Upf1","UPF1, RNA helicase and ATPase",6.18091482469039,123952.81034,-0.349555160142349
484,"A0A0U1RS40;A0A8I5ZLY4;G3V9Q4","Stk38","Serine/threonine kinase 38",8.5978682231675,63125.3088066667,-0.534885791112254
485,"A0A0U1ZFN5;A0A8I6G3R2","Cbl","E3 ubiquitin-protein ligase CBL",6.8125196814459,97038.88779,-0.549357124012602
486,"A0A140TAA4","Pdcd6ip","Programmed cell death 6-interacting protein",6.15472857608935,95882.10774,-0.450460829493088
487,"A0A140TAE0","Mvp","Major vault protein",5.46302907848588,96824.45974,-0.311825487944891
488,"A0A140TAF0","Tpm3","RCG62531, isoform CRA_g",4.6801995437127,32994.03134,-1.04070175438596
489,"A0A140TAH0;D3ZGE6","Cttn","Src substrate cortactin",5.13919096546439,59542.35609,-1.1072402323703
490,"A0A140TAI1","Ubqln1","Ubiquilin 1, isoform CRA_b",4.84629478134322,58715.68644,-0.488628158844765
491,"A0A140UHW6;A0A8I5ZNF7","Trmt1","tRNA (guanine(26)-N(2))-dimethyltransferase",7.4212238040603,69365.43674,-0.329640882885199
492,"A0A146J2K6","Nebl","Lasp-2",NA,NA,NA
493,"A0A1B0GWT7","Lamtor2","Late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",10.1644273800712,19749.51724,-0.157671957671958
494,"A0A1B0GWW0;D3ZHB7","Ube3c","HECT-type E3 ubiquitin transferase",6.13850217363118,122829.78164,-0.149427256057118
495,"A0A1K0H3R5","Hbb-b1","Globin a4",NA,NA,NA
496,"A0A1W2Q5Z6;A0A8I6AHG0;A0A8L2QRP0","Tax1bp3","Tax1-binding protein 3",8.95963815228314,18249.1503733333,-0.422154648470438
497,"A0A1W2Q616;A0A1W2Q679;A0A8I6A2N3;A0A8I6A4L1;D4A2D3","Mycbp2","RCR-type E3 ubiquitin transferase",6.73185960435598,519954.47062,-0.327571931453486
498,"A0A1W2Q626;D4A517","Slc39a10","Solute carrier family 39 (Zinc transporter), member 10 (Predicted), isoform CRA_a",6.25144328114879,94843.77439,-0.514775051996318
499,"A0A1W2Q641;D4A133","Atp6v1a","H(+)-transporting two-sector ATPase",5.47395740938193,69758.74134,-0.16957335554708
500,"A0A1W2Q642;D3ZGM7","Pi16","Peptidase inhibitor 16",5.09104352083357,64310.70964,-0.521088151454238
501,"A0A1W2Q645","Sumf2","Sulfatase-modifying factor 2",6.27321537519157,33490.76634,-0.502013422818792
502,"A0A1W2Q689;A0A1W2Q6F0;A0A8I5ZQE4;A0A8I5ZR84","Supt5h","Transcription elongation factor SPT5",4.97853058963897,121593.60419,-0.734293306482378
503,"A0A1W2Q6I2;D3ZGY2","Otud6b","ubiquitinyl hydrolase 1",6.20172278959298,37254.05914,-0.693524537195423
504,"A0A1W2Q6L1;G3V6B0","Pdxdc1","Pyridoxal-dependent decarboxylase domain-containing 1",5.27946125573649,85677.49869,-0.264163228069001
505,"A0A1W2Q6Q0;D3ZVB7","Ogn","Mimecan",6.12146569908919,40103.16334,-0.385666821715729
506,"A0A4X0UXX8;A0A4X0WLY2","Mepe","Matrix extracellular phosphoglycoprotein",8.67601405400749,47073.62044,-1.08253729794245
507,"A0A8I5XV17;A0A8I5ZR56;A0A8I6AH02;D3ZAZ0","Eif3m","Eukaryotic translation initiation factor 3 subunit M",5.76868988839436,40160.997565,-0.107599673688918
508,"A0A8I5XVC5;A0A8I6A611;A0A8I6AJT8;A0A8I6GK71;F1M392","Limch1","LIM and calponin homology domains 1",5.43533008476491,132063.0374,-0.987915378526904
509,"A0A8I5XVE7;A0A8I6ACC7","Rbm7","RNA-binding motif protein 7",9.40868664768421,28185.04564,-0.576531060218044
510,"A0A8I5XVK6;A0A8I5ZRY8;D3ZD40","Papln","Papilin, proteoglycan-like sulfated glycoprotein",7.51656444402062,138977.67684,-0.602893383212532
511,"A0A8I5XVR1;D3ZPR0","Cse1l","Exportin-2",5.64246985048646,106945.61874,-0.0109029055730952
512,"A0A8I5XVS2;D3ZD31","Mrc1","Mannose receptor, C type 1",6.48733193059786,164146.26379,-0.511317028993295
513,"A0A8I5XW09;A0A8I6AAJ0;A0A8I6G4R8","Hdac5","Histone deacetylase",5.70412056784807,117057.31574,-0.473776260576239
514,"A0A8I5XW36;D3ZPY0","Wtap","Pre-mRNA-splicing regulator WTAP",5.21700378753017,43839.20979,-0.968195958478409
515,"A0A8I5XW39;A0A8I6GA19","Vrk1","VRK serine/threonine kinase 1",8.84405266688945,48614.35469,-0.715716783216783
516,"A0A8I5XWQ1;A0A8I5ZPW7;D3ZQ82","Rfx1","Regulatory factor X1",6.74955143313269,105839.469673333,-0.319519252968011
517,"A0A8I5XWT0;A0A8I5ZMB7;Q9Z0M0","Cd55","CD55 molecule (Cromer blood group)",8.90598363191889,57800.8204066667,-0.430957924035998
518,"A0A8I5XZX9","LOC102555814","Uncharacterized LOC102555814",8.79874893579108,189760.09884,-0.614966367713005
519,"A0A8I5Y064;A0A8I6A4K7;A0A8I6A690;A0A8I6AA21;A0A8I6AHY7;D3ZGN7","Mical3","F-actin monooxygenase",5.41508113660774,228415.611256667,-0.806208940427143
520,"A0A8I5Y080;A0A8I6AAA9;A0A8I6ABL3;B2GV98","Lrch1","Leucine-rich repeats and calponin homology domain-containing 1",5.38264593131944,77819.13909,-0.350682019189375
521,"A0A8I5Y087;Q5U2R8","Mnda","Myeloid cell nuclear differentiation antigen",9.21275196636206,48767.40109,-0.671186509615072
522,"A0A8I5Y0I5;D3ZDQ9","Sgca","Sarcoglycan, alpha",6.14695450226768,42647.66949,-0.116211394118371
523,"A0A8I5Y0J7;A0A8I6AV53;B2RZ57","Mrpl18","Mitochondrial ribosomal protein L18",8.53734778956037,20846.23749,-0.3659968514228
524,"A0A8I5Y0N5;A0A8I5Y113","Pcbp3","Poly(rC)-binding protein 3",7.51858709024655,38818.04684,-0.188041976939707
525,"A0A8I5Y0Y2;A0A8J8Y1M0","Ddi2","DNA damage-inducible 1 homolog 2",4.85198584979301,75342.00104,-0.384837601102147
526,"A0A8I5Y0Y5;A0A8I5ZPE7;F1LQS6","Xdh","Xanthine dehydrogenase/oxidase",6.73435326448501,142215.37254,-0.184288879624967
527,"A0A8I5Y155;B1WC18","Podxl2","Podocalyxin-like 2",4.26710484838315,64268.67679,-0.553942870680611
528,"A0A8I5Y170;A0A8I6GEL2;D3ZHM7","Dnttip2","Deoxynucleotidyltransferase, terminal,-interacting protein 2",5.34551794294833,81343.3604733333,-1.00434735273649
529,"A0A8I5Y176","Ranbp9","RAN-binding protein 9",6.39946450983648,75692.08784,-0.42327221438646
530,"A0A8I5Y198;A0A8I6A8Q5;F1LND0","Col16a1","Collagen type XVI alpha 1 chain",8.22632994110548,157277.410006667,-0.71669111387739
531,"A0A8I5Y1J2","ENSRNOG00000067128","Peptidyl-prolyl cis-trans isomerase",7.86900109997468,16833.01684,-0.288961038961039
532,"A0A8I5Y1L1;D3ZMQ3","Itga4","Integrin subunit alpha 4",6.80832656191835,114862.84724,-0.173950785423388
533,"A0A8I5Y1P9;A0A8I6ADR8;D4ADS9","Efr3a","EFR3 homolog A",6.27959540039939,93329.09484,-0.152167147911829
534,"A0A8I5Y1Q7;A0A8I5ZM56;A0A8I6AMK3;D4A644","Map7d1","MAP7 domain-containing 1",10.0367276361763,91302.841515,-1.24989738675107
535,"A0A8I5Y1X4","Akap2","A-kinase anchor protein 2",4.94338111954993,133727.54034,-0.885337726523888
536,"A0A8I5Y262","Map3k20","Mitogen-activated protein kinase kinase kinase 20",5.17601389044308,51317.20164,-0.434216335540839
537,"A0A8I5Y2B8","ENSRNOG00000062500","1-cysPrx_C domain-containing protein",9.20996090278303,10516.05734,-0.414736842105263
538,"A0A8I5Y2G5;A0A8I5Y656;D3ZX42","Rabgap1","RAB GTPase-activating protein 1",5.15277319508724,120131.97134,-0.549842225693636
539,"A0A8I5Y4I3;A0A8I6A6N2;D4ADD8","Dctn6","Dynactin subunit 6",5.92017969622036,21338.6782066667,-0.0489580185822278
540,"A0A8I5Y4X4;A0A8I6A4A9;F7ES73","Nub1","Negative regulator of ubiquitin-like proteins 1",5.3704277609698,70212.59604,-0.656654982211662
541,"A0A8I5Y544;A0A8I5ZL83;A0A8I6A8U5;A0A8I6AMD7;A0A8I6ARD4","Mlip","Muscular LMNA-interacting protein",8.17478651959274,78358.205715,-0.634543079579371
542,"A0A8I5Y591;A0A8I5ZUG2;A0A8I5ZUU5;F1LU48","Ergic1","Endoplasmic reticulum-Golgi intermediate compartment protein",7.36227568686027,29817.54554,-0.189541977482175
543,"A0A8I5Y5E8;A0A8I5Y976;A0A8I6ALX8;B2RZ72","Arpc4","Actin-related protein 2/3 complex subunit 4",7.79351615555091,20920.7621066667,-0.102445985506263
544,"A0A8I5Y5F2;E9PST5","Acin1","Apoptotic chromatin condensation inducer 1",5.76695079962075,148829.53189,-1.31867323689562
545,"A0A8I5Y5F7;A0A8I6A3H7;A0A8I6GJY0;D3ZER1","Hmbox1","Homeobox-containing 1",6.2433587243953,46257.482215,-0.824585882490636
546,"A0A8I5Y5Q9;A0A8I5YCK6;Q5M852","Lpxn","Leupaxin",6.29043057305235,43553.2533066667,-0.428227438460599
547,"A0A8I5Y5R7","Col6a2","Collagen type VI alpha 2 chain",5.82611381366934,98271.79314,-0.700215982721382
548,"A0A8I5Y5Z6;F7EEB9;Q5XI44","Xrcc4","X-ray repair cross-complementing 4",4.88167090326676,38449.59144,-0.692951313194228
549,"A0A8I5Y601;B2GUU0","Cactin","Cactin",8.32749393021133,85481.59659,-1.11446185489903
550,"A0A8I5Y624;A0A8I6A6U7;B1H269","Ddx27","RNA helicase",9.28576580151227,85166.6012066667,-0.646548465727415
551,"A0A8I5Y641;A0A8I6ALA2;F1M853","Rrbp1","Ribosome-binding protein 1",9.05303596365733,154452.89434,-1.13749966081952
552,"A0A8I5Y652;A0A8I5ZK91;A0A8I6ATD8;D3Z962","Tacc3","Transforming, acidic coiled-coil-containing protein 3",4.69351244361352,69083.80409,-0.605602503231321
553,"A0A8I5Y665;A0A8I5ZMM2;D4A8A0","Cad","CAD protein",6.20757252145253,247092.358006667,-0.0641866150170796
554,"A0A8I5Y674;A0A8I5ZT12;D4A022","Gapvd1","GTPase-activating protein and VPS9 domains 1",5.05881480838207,162528.59714,-0.43582301631839
555,"A0A8I5Y680;A0A8I6AIY4;A0A8I6AJT7;G3V9T0","Pias1","Protein inhibitor of-activated STAT, 1",7.49011579594039,69370.76569,-0.257296469744758
556,"A0A8I5Y697","Ap1g1","AP-1 complex subunit gamma",6.83939558140099,97918.22864,-0.100342857142857
557,"A0A8I5Y6A7;A0A8I5ZMQ5;A0A8I6AD67;A0A8J8Y5V1","Parp9","Poly [ADP-ribose] polymerase",6.69200833639497,96290.34534,-0.194837452641227
558,"A0A8I5Y6C6","ENSRNOG00000062700","Elongation factor 1-gamma",8.83740262344421,27139.21374,-0.336134453781513
559,"A0A8I5Y6E1;F1LRE2","Igfals","Insulin-like growth factor binding protein, acid labile subunit, isoform CRA_a",6.13797748918285,66969.75434,0.0237976782752902
560,"A0A8I5Y6F0;A0A8I6AMU4;A0A8I6AS43;A0A8I6ASU5;A0A8I6GDZ9;F7F5E0","Meaf6","Chromatin modification-related protein MEAF6",9.79475950914704,29555.4035233333,-1.12906847286575
561,"A0A8I5Y6H0;F1M1R7","Zfp771","Zinc finger protein 771",9.83898862050575,36294.53039,-0.935915601863486
562,"A0A8I5Y6L2","Postn","Periostin",6.04739139729336,87316.66084,-0.15089058524173
563,"A0A8I5Y6N8;A0A8I6ALB6;D3ZAF7","Tbc1d2b","TBC1 domain family, member 2B",5.80271999852441,102127.877773333,-0.598310186254276
564,"A0A8I5Y6Q8;A0A8I6ALW4;D4A1J6","Ankfy1","Ankyrin repeat and FYVE domain-containing 1",5.61482933532741,128993.01834,-0.153251356863921
565,"A0A8I5Y6S6;A0A8L2QI22","Pycr3","pyrroline-5-carboxylate reductase",5.93511920353126,66519.50809,-0.515567216254293
566,"A0A8I5Y6T0;A0A8I6AA26;A0A8I6GA90;G3V8Y8","Hip1","Huntingtin-interacting protein 1",5.28140897688258,113585.32059,-0.484623143191036
567,"A0A8I5Y6U5","Srp14","Signal recognition particle 14 kDa protein",9.81728920121196,19550.91124,-0.376436781609195
568,"A0A8I5Y6Z0;A0A8I6AX06","Mtfr2","Mitochondrial fission regulator 2",9.98710209825727,106070.20754,-1.60752292603477
569,"A0A8I5Y721","Ppp1r21","Protein phosphatase 1 regulatory subunit 21",6.16442962493345,79567.45274,-0.49943342776204
570,"A0A8I5Y757;A0A8I5ZVU1;A0A8I6AIR8;A0A8I6AMB1;A0A8I6GA89;A0A8I6GJU6;D3ZYQ8","Uckl1","Uridine-cytidine kinase",6.95681410476104,59661.6454542857,-0.22192740269966
571,"A0A8I5Y7G8;A0A8I5Y910;A0A8I6A669;A0A8I6A6G8;A0A8I6AEK7;D3ZP98","Hm13","Histocompatibility minor 13",6.33493709960018,40343.3517566667,0.36277353861884
572,"A0A8I5Y7I2","Kctd12","Potassium channel tetramerization domain-containing 12",5.58954651251643,35740.82144,-0.521951219512195
573,"A0A8I5Y7I8;A0A8I5ZQM7;A0A8I6A9M0;D4ACF1","Eif4enif1","Eukaryotic translation initiation factor 4E nuclear import factor 1",7.66529487761226,105231.91469,-0.638137501907158
574,"A0A8I5Y7L4","Top2b","DNA topoisomerase 2",8.24106302104724,181992.85214,-0.64907063197026
575,"A0A8I5Y7N4;A0A8I5YC50;F1LM82;F1LNF1","Hnrnpa2b1","Heterogeneous nuclear ribonucleoproteins A2/B1",8.84122478993491,36093.16919,-0.85610774677865
576,"A0A8I5Y7N7;A0A8I5ZWC2;A0A8I5ZYN7;A0A8I6ACM8;A0A8I6AEW8;D4A5I9","Myo6","Unconventional myosin-VI",8.64146458226695,147620.41154,-0.64081077049072
577,"A0A8I5Y7P2;Q641Z9","Sdhc","Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",10.0949004067559,17600.95604,0.573985094749457
578,"A0A8I5Y7T8;D4A417","Pcif1","Phosphorylated CTD-interacting factor 1",6.97618879385734,79750.70519,-0.57094696969697
579,"A0A8I5Y830;A0A8I6A6N6;A0A8I6ASC7","Psma7","Proteasome subunit alpha type",8.44194993228019,26363.1666733333,-0.257307984197187
580,"A0A8I5Y832;A0A8I6A4W2;A0A8I6AHJ4;A0A8I6AJ62;D4A4Z9","Ktn1","Kinectin 1",5.79759175893853,148024.15854,-0.848987179954988
581,"A0A8I5Y871;A0A8I5ZP12;A0A8I6A4X4;A0A8I6G551;D4AC38","Ago1","Argonaute RISC component 1",9.30459719215959,97568.94788,-0.3264740565872
582,"A0A8I5Y895;D3ZWH1","Stab1","Stabilin 1",6.10636194841679,279677.99849,-0.18209602606941
583,"A0A8I5Y8F2;A0A8I5ZYG7","Efemp2","EGF-containing fibulin extracellular matrix protein 2",4.88463644925569,51204.93509,-0.389716388362885
584,"A0A8I5Y8U8;D4AAM1","C1h11orf98","RCG48016, isoform CRA_b",11.3837052065813,13966.44084,-1.08232740801984
585,"A0A8I5Y8Y4;M0R8S8;M0RCU8","Hmgn1","High mobility group nucleosome-binding domain 1",9.51119197505785,10553.01224,-1.39343297101449
586,"A0A8I5Y935;D3ZVM5","Hspa12b","Heat shock protein family A (Hsp70) member 12B",8.76307780853401,74201.04019,-0.243032812817789
587,"A0A8I5Y9A4;D4A4P3","Ndufb3","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3",9.05942144020693,11767.45054,-0.545898234683281
588,"A0A8I5Y9E0;O55158","Tspan8","Tetraspanin",5.56673711218095,25317.86659,0.608233117483811
589,"A0A8I5Y9M5;A0A8I6AMG4;A0A8I6APG3","Ncor1","Nuclear receptor corepressor 1",6.6390914778516,277753.473073333,-0.908803318248395
590,"A0A8I5Y9M9;A0A8I5ZTT7;A0A8I5ZWU9;A0A8I6AU02","Sri","Sorcin",5.94674414800199,21965.22279,-0.277684076584766
591,"A0A8I5Y9S3;A0A8I5YCL2;A0A8I6APR3;D3ZDX7","Mrpl48","Mitochondrial ribosomal protein L48",8.56102862849492,22591.132265,-0.301799200902044
592,"A0A8I5Y9V4;A0A8I6AVG0;G3V9K0","Cars","cysteine--tRNA ligase",6.17017105599548,88563.10974,-0.642462120606665
593,"A0A8I5Y9V8;A0A8I6A4I4;A0A8I6AIG0;Q32PY7","Nudcd3","NudC domain-containing 3",5.4027111423362,37788.732165,-0.612151702220089
594,"A0A8I5Y9Y9;A0A8I6AB52;F1M8B7","Chmp2b","Charged multivesicular body protein 2B",8.58514997290075,24420.7793733333,-0.638817347928415
595,"A0A8I5YB97;A0A8I6AEZ9;A0A8I6AFZ5;A0A8I6ALL8;A0A8I6GMN8;D4A720","Srsf7","RCG61762, isoform CRA_b",10.9206263688476,23184.10694,-1.08562669466514
596,"A0A8I5YBG7;A0A8I6AQ45;D3ZCA0","Plpbp","Pyridoxal phosphate homeostasis protein",6.72105193104697,28755.73214,-0.222713223212009
597,"A0A8I5YBI4;A0A8I5ZW43;D3ZG21","Tcf20","Transcription factor 20",9.14702399144746,215252.03084,-1.03429726934049
598,"A0A8I5YBJ3","Igsf8","Immunoglobulin superfamily, member 8",8.00137205197544,66353.39544,-0.142536115569823
599,"A0A8I5YBK6;A8QJL8","Maz","MYC-associated zinc finger protein",9.27081592259738,49972.37804,-0.132638915466425
600,"A0A8I5YBK9","Xirp1","Xin actin-binding repeat-containing 1",5.78334526601664,197040.55924,-0.656750823271131
601,"A0A8I5YBM8;D4A5S9","Prpf39","Pre-mRNA-processing factor 39",5.45350824376947,71003.34629,-0.708666534268944
602,"A0A8I5YBN1;A0A8I6A4F8;A0A8I6A6M2","Etl4","Enhancer trap locus 4",8.05349858026267,189274.249206667,-0.790297836624947
603,"A0A8I5YBN3;A0A8I5ZN17;A0A8I6ARL1;D3ZKD9;D4A1Q2;F1LST4","Mapt","Microtubule-associated protein",7.17461103184496,62037.4059733333,-0.836064814565555
604,"A0A8I5YBQ9;A0A8I5ZMH0;A0A8I5ZTW8;A0A8I6AD31;A1L1M0","Prkaca","cAMP-dependent protein kinase",8.84631929151328,40642.4062,-0.391039223993349
605,"A0A8I5YBR0;F7FGS9","Marchf5","Membrane-associated ring-CH-type finger 5",8.96920792949304,31710.69254,0.13496474101586
606,"A0A8I5YBR2","Cops6","COP9 signalosome complex subunit 6",6.15405932960379,39597.11604,-0.177534246575343
607,"A0A8I5YBX4;B3DM97","ENSRNOG00000070414;Slbp","DUF4050 domain-containing protein",7.18851125298008,29804.29524,-0.974553719008264
608,"A0A8I5YBZ6;A0A8I5ZL37;A0A8I5ZVD4;A0A8I5ZWE0;A0A8I6A8G9","Pcca","Propionyl-CoA carboxylase alpha chain, mitochondrial",6.69258204355106,77703.68298,-0.167693748423411
609,"A0A8I5YC26;A0A8I6AMQ5;A0A8I6G1P2;D4A197","Mcee","Methylmalonyl CoA epimerase",8.48569374827953,20438.82734,0.0233219944698357
610,"A0A8I5YC29;A0A8I6ABQ2;D3ZT71","Bcl2l13","Bcl2-like 13",4.50629512341658,45727.5553733333,-0.227629606078301
611,"A0A8I5YC36;M0R3M4","Ranbp2","RAN-binding protein 2",5.73120903076354,345889.99439,-0.61422409536148
612,"A0A8I5YC99;E9PSY8","Eps15","Epidermal growth factor receptor pathway substrate 15",4.4727800737568,97255.82219,-0.590509794005984
613,"A0A8I5YCB7;A0A8I5ZN84;A0A8I5ZY83;A0A8I6AMY7;A0A8I6ATJ6;D4AC97","Emsy","EMSY transcriptional repressor, BRCA2-interacting",9.39700156258338,134589.244673333,-0.418473019582573
614,"A0A8I5YCC9;A0A8I6A7G7","Itga5","Integrin subunit alpha 5",5.57623227498736,114410.08884,-0.212255336617406
615,"A0A8I5YCH6;A0A8I6AJW8;D3ZNS8","Aaas","Aladin WD repeat nucleoporin",6.87490939176427,58857.6077066667,-0.0289617373887037
616,"A0A8I5YCJ2;G3V6K1","Tcn2","Transcobalamin-2",8.37666672030806,47901.91404,-0.0994609779555198
617,"A0A8I5YCP1;A0A8I5ZV26;A0A8I6GAW8;Q5XI04","Stom","Stomatin",6.83547765936904,30607.83454,0.147556226108312
618,"A0A8I5ZJ57","Supt16h","FACT complex subunit",5.50129043060589,119865.68274,-0.670487106017192
619,"A0A8I5ZJ62;A0A8I5ZKH6;F1M5V2","Glipr2","GLI pathogenesis-related 2",9.3983830334417,18656.52544,-0.811108717235618
620,"A0A8I5ZJ67;D4A7R3","Nup205","Nucleoporin 205",6.00719312995297,229682.06669,-0.11897391915396
621,"A0A8I5ZJ69;A0A8I6AJ81;D3ZZY2","Utp14a","UTP14A small subunit processome component",9.08651746614585,89880.3078733333,-0.906377734780948
622,"A0A8I5ZJ94","Ank1","Ankyrin 1",6.20232898784371,209425.90354,-0.41326691137913
623,"A0A8I5ZJB8;A0A8I6A0F8;D4A648","Stk4","non-specific serine/threonine protein kinase",5.19091442011108,56048.7730733333,-0.549256456245041
624,"A0A8I5ZJB9;A0A8I6ABC0","Syne1","Spectrin repeat containing, nuclear envelope 1",5.41911169546115,1009697.72609,-0.614200641905595
625,"A0A8I5ZJC5;A0A8I6A6Z0","Tulp1","Tubby-like protein",9.02029046951503,57952.63064,-1.14065352434077
626,"A0A8I5ZJD7","Rab6a","Ras-related protein Rab-6A",5.59136768854987,22658.84924,-0.324242424242424
627,"A0A8I5ZJF5","Klf13","Kruppel-like factor 13",9.71397384169747,31104.87154,-0.871626297577855
628,"A0A8I5ZJI0;D3ZWD1;D4A8M4;M0R9W9","Lrch3","Leucine-rich repeats and calponin homology (CH) domain containing 3 (Predicted), isoform CRA_a",6.92802218863096,83032.895565,-0.372822904475318
629,"A0A8I5ZJJ9;A0A8I6A4A2","Vps13a","Vacuolar protein sorting 13 homolog A",5.60939818074029,353753.64799,-0.179145043070512
630,"A0A8I5ZJK8;A0A8I5ZXQ9;A0A8I5ZYX2;A0A8I6G8Q3;A0A8I6GID7;G3V6S5","Mthfd1","C-1-tetrahydrofolate synthase, cytoplasmic",7.25740891912678,100494.933123333,-0.053715299760407
